inst_i,inst_j,weight
https://openalex.org/I161046081,https://openalex.org/I887968799,547
https://openalex.org/I161046081,https://openalex.org/I97018004,393
https://openalex.org/I161046081,https://openalex.org/I99464096,518
https://openalex.org/I174306211,https://openalex.org/I196349391,21
https://openalex.org/I174306211,https://openalex.org/I202697423,95
https://openalex.org/I174306211,https://openalex.org/I205783295,290
https://openalex.org/I174306211,https://openalex.org/I21491767,855
https://openalex.org/I174306211,https://openalex.org/I28166907,95
https://openalex.org/I174306211,https://openalex.org/I3018134672,36
https://openalex.org/I174306211,https://openalex.org/I32021983,14
https://openalex.org/I174306211,https://openalex.org/I40120149,515
https://openalex.org/I174306211,https://openalex.org/I4210087915,111
https://openalex.org/I174306211,https://openalex.org/I4210162051,5
https://openalex.org/I174306211,https://openalex.org/I57206974,305
https://openalex.org/I174306211,https://openalex.org/I62916508,221
https://openalex.org/I174306211,https://openalex.org/I8087733,56
https://openalex.org/I174306211,https://openalex.org/I887968799,100
https://openalex.org/I174306211,https://openalex.org/I97018004,395
https://openalex.org/I174306211,https://openalex.org/I99464096,117
https://openalex.org/I196349391,https://openalex.org/I202697423,271
https://openalex.org/I196349391,https://openalex.org/I205783295,131
https://openalex.org/I196349391,https://openalex.org/I21491767,46
https://openalex.org/I196349391,https://openalex.org/I28166907,289
https://openalex.org/I196349391,https://openalex.org/I3018134672,385
https://openalex.org/I196349391,https://openalex.org/I32021983,336
https://openalex.org/I196349391,https://openalex.org/I40120149,317
https://openalex.org/I196349391,https://openalex.org/I4210087915,188
https://openalex.org/I196349391,https://openalex.org/I4210162051,227
https://openalex.org/I196349391,https://openalex.org/I57206974,47
https://openalex.org/I196349391,https://openalex.org/I62916508,1016
https://openalex.org/I196349391,https://openalex.org/I8087733,666
https://openalex.org/I196349391,https://openalex.org/I887968799,418
https://openalex.org/I196349391,https://openalex.org/I97018004,168
https://openalex.org/I196349391,https://openalex.org/I99464096,297
https://openalex.org/I202697423,https://openalex.org/I205783295,470
https://openalex.org/I202697423,https://openalex.org/I21491767,830
https://openalex.org/I202697423,https://openalex.org/I28166907,727
https://openalex.org/I202697423,https://openalex.org/I3018134672,391
https://openalex.org/I202697423,https://openalex.org/I32021983,190
https://openalex.org/I202697423,https://openalex.org/I40120149,1647
https://openalex.org/I202697423,https://openalex.org/I4210087915,423
https://openalex.org/I202697423,https://openalex.org/I4210162051,209
https://openalex.org/I202697423,https://openalex.org/I57206974,382
https://openalex.org/I202697423,https://openalex.org/I62916508,1066
https://openalex.org/I202697423,https://openalex.org/I8087733,736
https://openalex.org/I202697423,https://openalex.org/I887968799,780
https://openalex.org/I202697423,https://openalex.org/I97018004,825
https://openalex.org/I202697423,https://openalex.org/I99464096,846
https://openalex.org/I205783295,https://openalex.org/I21491767,337
https://openalex.org/I205783295,https://openalex.org/I28166907,515
https://openalex.org/I205783295,https://openalex.org/I3018134672,153
https://openalex.org/I205783295,https://openalex.org/I32021983,114
https://openalex.org/I205783295,https://openalex.org/I40120149,1418
https://openalex.org/I205783295,https://openalex.org/I4210087915,2811
https://openalex.org/I205783295,https://openalex.org/I4210162051,63
https://openalex.org/I205783295,https://openalex.org/I57206974,2402
https://openalex.org/I205783295,https://openalex.org/I62916508,425
https://openalex.org/I205783295,https://openalex.org/I8087733,326
https://openalex.org/I205783295,https://openalex.org/I887968799,185
https://openalex.org/I205783295,https://openalex.org/I97018004,3871
https://openalex.org/I205783295,https://openalex.org/I99464096,558
https://openalex.org/I21491767,https://openalex.org/I28166907,298
https://openalex.org/I21491767,https://openalex.org/I3018134672,54
https://openalex.org/I21491767,https://openalex.org/I32021983,89
https://openalex.org/I21491767,https://openalex.org/I40120149,1374
https://openalex.org/I21491767,https://openalex.org/I4210087915,249
https://openalex.org/I21491767,https://openalex.org/I4210162051,59
https://openalex.org/I21491767,https://openalex.org/I57206974,338
https://openalex.org/I21491767,https://openalex.org/I62916508,153
https://openalex.org/I21491767,https://openalex.org/I8087733,268
https://openalex.org/I21491767,https://openalex.org/I887968799,509
https://openalex.org/I21491767,https://openalex.org/I97018004,288
https://openalex.org/I21491767,https://openalex.org/I99464096,437
https://openalex.org/I28166907,https://openalex.org/I3018134672,589
https://openalex.org/I28166907,https://openalex.org/I32021983,180
https://openalex.org/I28166907,https://openalex.org/I40120149,2341
